Year,Site,Transect_ID,Treatment,Timepoint,Location_m,Litter_cm,Veg_Height_cm
2024,CSR,CSR_B_T1,Burn,Before,5,0,6
2024,CSR,CSR_B_T1,Burn,Before,10,0,8
2024,CSR,CSR_B_T1,Burn,Before,15,0.5,12
2024,CSR,CSR_B_T1,Burn,Before,20,0.5,11
2024,CSR,CSR_B_T1,Burn,Before,25,0,3
2024,CSR,CSR_B_T1,Burn,Before,30,1,23
2024,CSR,CSR_B_T1,Burn,Before,35,2,24.5
2024,CSR,CSR_B_T1,Burn,Before,40,0,23.5
2024,CSR,CSR_B_T1,Burn,Before,45,2,10.5
2024,CSR,CSR_B_T1,Burn,Before,50,0.5,8
2024,CSR,CSR_B_T2,Burn,Before,5,2.5,19.5
2024,CSR,CSR_B_T2,Burn,Before,10,1,7
2024,CSR,CSR_B_T2,Burn,Before,15,1,12
2024,CSR,CSR_B_T2,Burn,Before,20,0.5,11
2024,CSR,CSR_B_T2,Burn,Before,25,0,8.5
2024,CSR,CSR_B_T2,Burn,Before,30,0.5,12
2024,CSR,CSR_B_T2,Burn,Before,35,0,12
2024,CSR,CSR_B_T2,Burn,Before,40,1,16.5
2024,CSR,CSR_B_T2,Burn,Before,45,0.5,12
2024,CSR,CSR_B_T2,Burn,Before,50,0,3.5
2024,CSR,CSR_B_T3,Burn,Before,5,0.5,36
2024,CSR,CSR_B_T3,Burn,Before,10,1.5,34
2024,CSR,CSR_B_T3,Burn,Before,15,2,38
2024,CSR,CSR_B_T3,Burn,Before,20,1,35
2024,CSR,CSR_B_T3,Burn,Before,25,0,27
2024,CSR,CSR_B_T3,Burn,Before,30,0.5,36
2024,CSR,CSR_B_T3,Burn,Before,35,1,34
2024,CSR,CSR_B_T3,Burn,Before,40,1,30
2024,CSR,CSR_B_T3,Burn,Before,45,1,31
2024,CSR,CSR_B_T3,Burn,Before,50,0.5,34
2024,CSR,CSR_B_T4,Burn,Before,5,1,14.5
2024,CSR,CSR_B_T4,Burn,Before,10,0.5,24
2024,CSR,CSR_B_T4,Burn,Before,15,2,20
2024,CSR,CSR_B_T4,Burn,Before,20,0,17
2024,CSR,CSR_B_T4,Burn,Before,25,0.5,20
2024,CSR,CSR_B_T4,Burn,Before,30,1,15.5
2024,CSR,CSR_B_T4,Burn,Before,35,1,18
2024,CSR,CSR_B_T4,Burn,Before,40,2,26
2024,CSR,CSR_B_T4,Burn,Before,45,0.5,24
2024,CSR,CSR_B_T4,Burn,Before,50,1.5,30
2024,CSR,CSR_B_T5,Burn,Before,5,0.5,10
2024,CSR,CSR_B_T5,Burn,Before,10,1,14
2024,CSR,CSR_B_T5,Burn,Before,15,0.5,10
2024,CSR,CSR_B_T5,Burn,Before,20,0,7.5
2024,CSR,CSR_B_T5,Burn,Before,25,0.5,9
2024,CSR,CSR_B_T5,Burn,Before,30,1,16
2024,CSR,CSR_B_T5,Burn,Before,35,1.5,30.5
2024,CSR,CSR_B_T5,Burn,Before,40,1,25
2024,CSR,CSR_B_T5,Burn,Before,45,0.5,28
2024,CSR,CSR_B_T5,Burn,Before,50,0,0
2024,CSR,CSR_C_T1,Control,Before,5,0.5,19
2024,CSR,CSR_C_T1,Control,Before,10,1,31
2024,CSR,CSR_C_T1,Control,Before,15,1,15
