Year,Site,Transect_ID,Treatment,Transect,Sample,RDM_g_preburn,RDM_g_postburn,soil_grav_water_percent,max_temp_F,max_temp_C
2024,CSR,CSR_B_T1,Burn,1,15,5.04,0.92,1,150,66
2024,CSR,CSR_B_T1,Burn,1,30,6.37,1.17,1,150,66
2024,CSR,CSR_B_T1,Burn,1,45,12.36,3.79,1,400,204
2024,CSR,CSR_B_T2,Burn,2,15,3.19,1.54,19,400,204
2024,CSR,CSR_B_T2,Burn,2,30,2.51,4.82,2,150,66
2024,CSR,CSR_B_T2,Burn,2,45,2.3,3.09,2,150,66
2024,CSR,CSR_B_T3,Burn,3,15,8.93,1.44,1,400,204
2024,CSR,CSR_B_T3,Burn,3,30,7.61,1.81,1,600,316
2024,CSR,CSR_B_T3,Burn,3,45,9.57,1.28,1,400,204
2024,CSR,CSR_B_T4,Burn,4,15,5.13,3.73,1,150,66
2024,CSR,CSR_B_T4,Burn,4,30,13.28,7.15,1,150,66
2024,CSR,CSR_B_T4,Burn,4,45,6.44,5.51,1,150,66
2024,CSR,CSR_B_T5,Burn,5,15,8.64,6.78,1,150,66
2024,CSR,CSR_B_T5,Burn,5,30,13.35,3.30,18,600,316
2024,CSR,CSR_B_T5,Burn,5,45,13.12,2.12,0,600,316
2024,CSR,CSR_C_B_T1,Control,1,15,1.75,12.62,4,NA,NA
2024,CSR,CSR_C_B_T1,Control,1,30,14.06,9.27,4,NA,NA
2024,CSR,CSR_C_B_T1,Control,1,45,4.36,7.41,2,NA,NA
2024,CSR,CSR_C_B_T2,Control,2,15,19.96,1.25,2,NA,NA
2024,CSR,CSR_C_B_T2,Control,2,30,21.34,0.68,1,NA,NA
2024,CSR,CSR_C_B_T2,Control,2,45,11.49,1.02,2,NA,NA
2024,CSR,CSR_C_B_T3,Control,3,15,11.22,2.93,1,NA,NA
2024,CSR,CSR_C_B_T3,Control,3,30,36.32,15.45,3,NA,NA
2024,CSR,CSR_C_B_T3,Control,3,45,6.91,9.21,4,NA,NA
2024,CSR,CSR_C_B_T4,Control,4,15,19.97,3.92,1,NA,NA
2024,CSR,CSR_C_B_T4,Control,4,30,16.49,4.90,1,NA,NA
2024,CSR,CSR_C_B_T4,Control,4,45,21.45,10.44,1,NA,NA
2024,CSR,CSR_C_B_T5,Control,5,15,9.77,0.90,2,NA,NA
2024,CSR,CSR_C_B_T5,Control,5,30,22.92,3.56,1,NA,NA
2024,CSR,CSR_C_B_T5,Control,5,45,14.57,7.97,1,NA,NA
2024,TKR,TKR_B_T1,Burn,1,15,26.83,4.64,12,400,204
2024,TKR,TKR_B_T1,Burn,1,30,25.64,20.84,10,400,204
2024,TKR,TKR_B_T1,Burn,1,45,2.72,13.19,12,400,204
2024,TKR,TKR_B_T2,Burn,2,15,16.06,3.01,11,400,204
2024,TKR,TKR_B_T2,Burn,2,30,5.79,7.95,18,600,316
2024,TKR,TKR_B_T2,Burn,2,45,2,21.89,12,600,316
2024,TKR,TKR_B_T3,Burn,3,15,14.54,3.52,10,600,316
2024,TKR,TKR_B_T3,Burn,3,30,23.61,5.50,13,600,316
2024,TKR,TKR_B_T3,Burn,3,45,33.43,7.30,10,600,316
2024,TKR,TKR_B_T4,Burn,4,15,19.05,8.73,17,600,316
2024,TKR,TKR_B_T4,Burn,4,30,18.3,11.28,12,600,316
2024,TKR,TKR_B_T4,Burn,4,45,11.13,2.15,11,600,316
2024,TKR,TKR_B_T5,Burn,5,15,14.8,15.33,8,600,316
2024,TKR,TKR_B_T5,Burn,5,30,39.08,25.05,10,600,316
2024,TKR,TKR_B_T5,Burn,5,45,35.78,47.63,6,600,316
2024,TKR,TKR_C_B_T1,Control,1,15,18.8,75.34,7,NA,NA
2024,TKR,TKR_C_B_T1,Control,1,30,31.38,26.29,9,NA,NA
2024,TKR,TKR_C_B_T1,Control,1,45,46.57,38.37,8,NA,NA
2024,TKR,TKR_C_B_T2,Control,2,15,25.86,70.70,11,NA,NA
2024,TKR,TKR_C_B_T2,Control,2,30,13.77,40.31,9,NA,NA
2024,TKR,TKR_C_B_T2,Control,2,45,40.98,100.72,11,NA,NA
2024,TKR,TKR_C_B_T3,Control,3,15,9.79,51.58,15,NA,NA
2024,TKR,TKR_C_B_T3,Control,3,30,12.4,13.46,11,NA,NA
2024,TKR,TKR_C_B_T3,Control,3,45,15.51,17.10,15,NA,NA
2024,TKR,TKR_C_B_T4,Control,4,15,25.99,49.80,14,NA,NA
