Year,Site,Transect_ID,Treatment,Transect,Sample,dry_weight,Roots_g_per_m2
2024,MF,MF_B_T1,Burn,1,15,0.41,208.81
2024,MF,MF_B_T1,Burn,1,30,0.51,259.74
2024,MF,MF_B_T1,Burn,1,45,1.54,784.32
2024,MF,MF_B_T2,Burn,2,15,0.4,203.72
2024,MF,MF_B_T2,Burn,2,30,0.8,407.44
2024,MF,MF_B_T2,Burn,2,45,0.81,412.53
2024,MF,MF_B_T3,Burn,3,15,1.02,519.48
2024,MF,MF_B_T3,Burn,3,30,0.62,315.76
2024,MF,MF_B_T3,Burn,3,45,0.85,432.9
2024,MF,MF_B_T4,Burn,4,15,1.07,544.95
2024,MF,MF_B_T4,Burn,4,30,1.38,702.83
2024,MF,MF_B_T4,Burn,4,45,0.89,453.27
2024,MF,MF_B_T5,Burn,5,15,1.97,"1,003.31"
2024,MF,MF_B_T5,Burn,5,30,1.18,600.97
2024,MF,MF_B_T5,Burn,5,45,0.31,157.88
2024,MF,MF_C_T1,Control,1,15,0.11,56.02
2024,MF,MF_C_T1,Control,1,30,0.23,117.14
2024,MF,MF_C_T1,Control,1,45,0.13,66.21
2024,MF,MF_C_T2,Control,2,15,0.53,269.93
2024,MF,MF_C_T2,Control,2,30,0.18,91.67
2024,MF,MF_C_T2,Control,2,45,0.43,219
2024,MF,MF_C_T3,Control,3,15,0.2,101.86
2024,MF,MF_C_T3,Control,3,30,0.05,25.46
2024,MF,MF_C_T3,Control,3,45,0.24,122.23
2024,MF,MF_C_T4,Control,4,15,0.41,208.81
2024,MF,MF_C_T4,Control,4,30,0.6,305.58
2024,MF,MF_C_T4,Control,4,45,1.29,656.99
2024,MF,MF_C_T5,Control,5,15,0.54,275.02
2024,MF,MF_C_T5,Control,5,30,0.35,178.25
2024,MF,MF_C_T5,Control,5,45,0.4,203.72
2024,WR5,WR5_B_T1,Burn,1,15,1.77,901.45
2024,WR5,WR5_B_T1,Burn,1,30,0.77,392.16
2024,WR5,WR5_B_T1,Burn,1,45,0.34,173.16
2024,WR5,WR5_B_T2,Burn,2,15,0.44,224.09
2024,WR5,WR5_B_T2,Burn,2,30,3.17,"1,614.47"
2024,WR5,WR5_B_T2,Burn,2,45,1.77,901.45
2024,WR5,WR5_B_T3,Burn,3,15,5.52,"2,811.31"
2024,WR5,WR5_B_T3,Burn,3,30,0.8,407.44
2024,WR5,WR5_B_T3,Burn,3,45,1.32,672.27
2024,WR5,WR5_B_T4,Burn,4,15,3.07,"1,563.54"
2024,WR5,WR5_B_T4,Burn,4,30,2.43,"1,237.59"
2024,WR5,WR5_B_T4,Burn,4,45,0.62,315.76
2024,WR5,WR5_B_T5,Burn,5,15,0.33,168.07
2024,WR5,WR5_B_T5,Burn,5,30,1.07,544.95
2024,WR5,WR5_B_T5,Burn,5,45,0.3,152.79
2024,WR5,WR5_C_T1,Control,1,15,0.07,35.65
2024,WR5,WR5_C_T1,Control,1,30,0.07,35.65
2024,WR5,WR5_C_T1,Control,1,45,0.91,463.46
2024,WR5,WR5_C_T2,Control,2,15,0.18,91.67
2024,WR5,WR5_C_T2,Control,2,30,0.08,40.74
