Transect,Tin,Air-Dried Soil (~10 g),Air Dried Soil + Tin ,Dry Soil + Tin (105C for 40 hrs),Water Lost,Oven-Dried Soil,RC1 (Blank),Temp (Blank),R Sand (40 seconds),Temp (Sand),RC2 (Blank),Temp (Blank),R Clay (6 hours),Temp (Clay),% Sand,% Clay,% Silt
AM-B-T1 (P4),1.94,9.99,11.93,11.8,0.13,39.5,4,23.5,24,23.5,4,23.7,11,23.8,49.3,17.7,32.9
AM-B-T2 (P4),1.93,10,11.93,11.76,0.17,39.3,4,23.4,26,24.1,4,23.7,13,23.9,44.0,22.9,33.1
AM-B-T3 (P4),1.78,10,11.78,11.62,0.16,39.4,4,23.4,29,24.6,4,23.7,14,24,36.5,25.4,38.1
AM-B-T4 (P4),1.77,10,11.77,11.66,0.11,39.6,3,23.4,21,24.6,4,23.9,11,24.1,54.5,17.7,27.8
AM-B-T5 (P4),1.91,10,11.91,11.74,0.17,39.3,3,23.4,24,24.7,4,23.9,13,24.2,46.6,22.9,30.5
AM-C-T1 (P4),1.14,10,11.14,11.02,0.12,39.5,3,23.4,20,24.6,3,23.9,11,24,57.0,20.2,22.8
AM-C-T2 (P4),1.13,10.01,11.13,11.05,0.08,39.7,3,23.4,25,24.6,3,24,12,24.2,44.6,22.7,32.8
AM-C-T3 (P4),1.11,9.99,11.12,11.01,0.11,39.6,3,23.3,22,24.6,4,24,11,24.2,52.0,17.7,30.3
AM-C-T4 (P4),1.37,10,11.37,11.24,0.13,39.5,3,23.4,22,24.6,4,24,11,24.2,51.9,17.7,30.4
AM-C-T5 (P4),1.76,9.99,11.75,11.63,0.12,39.5,3,23.3,25,24.4,4,24,12,24.1,44.3,20.2,35.4
CCD-B-T1,1.14,10.01,11.15,11.03,0.12,39.5,2,23.4,16,25.6,2,23.1,10,25.3,64.6,20.2,15.2
CCD-B-T2,1.19,10.02,11.21,10.94,0.27,38.9,2,23.4,24,25.7,2,23.1,12,25.2,43.5,25.7,30.8
CCD-B-T3,1.44,10,11.44,11.36,0.08,39.7,2,23.4,19,25.7,2,23.1,9,25.3,57.2,17.6,25.2
CCD-B-T4,1.47,10.01,11.48,11.35,0.13,39.5,2,23.4,18,25.6,2,23.1,9,25.3,59.5,17.7,22.8
CCD-B-T5,1.1,10.01,11.11,10.91,0.2,39.2,2,23.4,22,25.4,2,23.1,8,25.3,49.0,15.3,35.7
CCD-C-T1,1.02,10.01,11.03,10.82,0.21,39.2,2,23.5,26,25.7,2,23.1,10,25.3,38.7,20.4,40.9
CCD-C-T2,1.09,10,11.09,10.82,0.27,38.9,3,23.5,26,25.6,2,23.1,13,25.2,40.9,28.3,30.8
CCD-C-T3,1.08,10,11.08,10.96,0.12,39.5,3,23.4,19,25.6,2,23.1,9,25.2,59.5,17.7,22.8
CCD-C-T4,1.2,10.01,11.21,11.09,0.12,39.5,2,23.5,23,25.7,2,23.1,10,25.3,46.9,20.2,32.9
CCD-C-T5,1.19,9.98,11.17,11.02,0.15,39.4,2,23.5,20,25.7,2,23.1,11,25.3,54.3,22.8,22.8
CSR-SC-B-T1,1.53,10.01,11.54,11.41,0.13,39.5,5,23.1,24,24.4,5,23.9,10,24.1,51.9,12.7,35.5
CSR-SC-B-T2,1.16,10,11.16,10.84,0.32,38.7,5,23.1,26,24.5,5,23.9,11,24.2,45.8,15.5,38.7
CSR-SC-B-T3,1.54,10.01,11.55,11.4,0.15,39.4,5,23.2,23,24.5,5,23.9,11,24.1,54.3,15.2,30.5
CSR-SC-B-T4,1.17,10.01,11.18,11.06,0.12,39.5,5,23.2,17,24.5,5,23.9,8,24.2,69.6,7.6,22.8
CSR-SC-B-T5,1.38,10,11.38,11.21,0.17,39.3,5,23.2,23,24.5,5,23.9,10,24.2,54.2,12.7,33.1
CSR-SC-C-T1,1.16,10.01,11.17,11.09,0.08,39.7,5,23.1,20,23.8,5,24.1,9,24.2,62.2,10.1,27.7
CSR-SC-C-T2,1.11,10,11.11,10.89,0.22,39.1,5,23.2,24,24,5,24,13,24.2,51.4,20.4,28.1
CSR-SC-C-T3,1.49,10,11.49,11.26,0.23,39.1,5,23.2,27,24.1,5,24,12,24.2,43.7,17.9,38.4
CSR-SC-C-T4,1.14,10.01,11.15,11.05,0.1,39.6,5,23.2,15,24.2,5,24,7,24.2,74.7,5.1,20.2
CSR-SC-C-T5,1.41,10.01,11.42,11.28,0.14,39.4,5,23.2,23,24.1,5,24,10,24.1,54.4,12.7,33.0
MF-B-T1,1.52,10,11.52,11.4,0.12,39.5,3,23.7,20,24.2,3.5,23.1,12,23.5,57.0,21.5,21.5
MF-B-T2,1.14,10,11.14,10.99,0.15,39.4,3,23.8,17,24.4,4,23.1,11,23.6,64.5,17.8,17.8
MF-B-T3,1.37,10,11.37,11.33,0.04,39.8,3,23.8,14,25.1,4,23.2,8,23.5,72.4,10.0,17.6
MF-B-T4,1.1,10.01,11.11,10.97,0.14,39.4,3,23.8,19,25.1,4,23.2,13,23.6,59.4,22.8,17.7
MF-B-T5,1.14,10,11.14,11.06,0.08,39.7,3,23.9,21,25.4,4,23.2,12,23.6,54.6,20.2,25.2
MF-C-T1,1.52,10,11.52,11.41,0.11,39.6,3,23.9,17,25.4,4,23.3,12,23.6,64.6,20.2,15.2
MF-C-T2,1.11,10,11.11,10.95,0.16,39.4,3,23.9,16,25.5,4,23.3,10,23.6,67.0,15.2,17.8
MF-C-T3,1.54,10,11.54,11.39,0.15,39.4,3,23.8,17,25.6,3,23.3,11,23.7,64.5,20.3,15.2
MF-C-T4,1.47,10,11.47,11.37,0.1,39.6,3,23.9,17,25.4,4,23.2,11,23.7,64.6,17.7,17.7
MF-C-T5,1.35,10.01,11.36,11.25,0.11,39.6,3,23.9,18,25.5,4,23.2,10,23.6,62.1,15.2,22.8
PL-B-T1,1.49,9.99,11.48,11.33,0.15,39.4,2,23,21,23.2,3,22,12,22.4,51.8,22.8,25.4
PL-B-T2,1.2,10,11.2,11.05,0.15,39.4,3,23.1,29,22.9,3,22.1,10,22.4,34.0,17.8,48.2
PL-B-T3,1.51,10,11.51,11.43,0.08,39.7,2,23,28,22.9,3,21.9,11,22.3,34.5,20.2,45.4
PL-B-T4,1.25,10.02,11.27,10.86,0.41,38.4,2,23,26,22.8,3,22,10,22.4,37.4,18.2,44.3
PL-B-T5,1.17,10.01,11.18,10.89,0.29,38.8,2,29.9,27,22.6,4,22,8,22.3,35.6,10.3,54.1
PL-C-T1,1.19,9.99,11.18,11,0.18,39.3,2,23,20,22.6,3,21.9,7,22.5,54.2,10.2,35.6
PL-C-T2,1.59,10.01,11.6,11.26,0.34,38.6,2,23.1,23,22.8,3,22,13,22.4,45.7,25.9,28.5
QV-B-T1,1.91,10,11.91,11.74,0.17,39.3,4,23.6,23,23.8,3,22.8,12,23.1,51.7,22.9,25.4
QV-B-T2,1.98,10.01,11.99,11.55,0.44,38.2,3,23.7,17,23.9,4,22.8,9,23.2,63.4,13.1,23.5
QV-B-T3,1.13,9.99,11.12,10.91,0.21,39.2,3,23.6,20,24.6,4,23,11,23.3,56.6,17.9,25.5
QV-B-T4,1.53,10.01,11.54,11.05,0.49,38.0,3,23.6,33,24.9,3,23,18,23.2,21.1,39.4,39.4
QV-B-T5,1.14,9.99,11.13,10.6,0.53,37.9,3,23.6,34,24.9,3,23,18,23.3,18.2,39.6,42.2
QV-C-T1,1.37,10.01,11.38,11.2,0.18,39.3,3,23.6,20,24.8,3,23,11,23.2,56.7,20.4,22.9
QV-C-T2,1.79,9.99,11.78,11.54,0.24,39.0,4,23.7,23,25,3,22.9,14,23.2,51.3,28.2,20.5
QV-C-T3,1.8,10.01,11.81,11.56,0.25,39.0,4,23.7,26,25,4,22.9,15,23.3,43.6,28.2,28.2
QV-C-T4,1.94,9.99,11.93,11.66,0.27,38.9,3,23.7,26,24.7,4,22.9,15,23.2,40.9,28.3,30.8
QV-C-T5,1.95,10.01,11.96,11.72,0.24,39.0,4,23.6,27,24.8,3,22.8,16,23.2,41.1,33.3,25.6
SLP-B-T1,1.51,9.99,11.5,11.32,0.18,39.3,3,22.8,21,22.9,4,22.4,13,22.5,54.2,22.9,22.9
SLP-B-T2,1.13,10,11.13,11.03,0.1,39.6,3,22.7,19,23.2,4,22.4,11,22.4,59.6,17.7,22.7
SLP-B-T4,1.47,10.01,11.48,11.35,0.13,39.5,3,22.6,20,23.7,3,22.5,14,22.6,56.9,27.9,15.2
SLP-C-T1,1.15,9.99,11.14,10.81,0.33,38.7,3,22.7,16,23.9,4,22.4,9,22.7,66.4,12.9,20.7
SLP-C-T2,1.2,10,11.2,11.14,0.06,39.8,3,22.7,14,24,4,22.4,8,22.7,72.3,10.1,17.6
